ID_person,name,vizier,set,mean,std,max,min,max-min,step_glm_v1,step_nn_v1,lasso_glm_v1,lasso_nn_v1,ridge_glm_v1,ridge_nn_v1,step_glm_v2,step_nn_v2,lasso_glm_v2,lasso_nn_v2,ridge_glm_v2,ridge_nn_v2
134,Ir(w)-kA-PtH,0,Train,0.261913522277045,0.31222321799267105,0.9337167143821716,0.029926886782050133,0.9037898276001215,0.21302281257134767,0.9337167,0.1363785572130026,0.89871,0.034735497931349564,0.41886488,0.21302281257134767,0.029926887,0.1484133462420989,0.038633425,0.03396264673175437,0.04357468
2740,,0,Train,0.01824620098641851,0.01793050358634971,0.05136292055249214,0.002194509059601022,0.04916841149289112,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.010242934,0.0030022096084311076,0.046683222,0.006143011214213301,0.05136292
3110,9aw : 5mAi,0,Train,0.043478773576997365,0.06040878854062617,0.17964883148670197,0.002194509059601022,0.17745432242710094,0.002194509059601022,0.036383927,0.012030580050231257,0.016116682,0.020941060410579634,0.17964883,0.002194509059601022,0.008235443,0.010434999092317083,0.042675857,0.01860647192393482,0.17228241
3733,Iw-n.f-it.f,0,Train,0.018928706124081634,0.017934765360874936,0.050536200404167175,0.002194509059601022,0.04834169134456615,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.017124576,0.0030022096084311076,0.0505362,0.0061629571047118895,0.048798416
570,Nb-m-9dt,0,Train,0.01902514548588537,0.018033056823446275,0.05112413689494133,0.002194509059601022,0.04892962783534031,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.017569374,0.0030022096084311076,0.051124137,0.006174942960803974,0.048910968
566,Ny-kAw-Ra,0,Train,0.01901834246607224,0.018026093593780178,0.05108274891972542,0.002194509059601022,0.048888239860124395,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.017537856,0.0030022096084311076,0.05108275,0.006174102681684602,0.048903078
3440,Qr.i,0,Train,0.019110705729455033,0.018820613845317937,0.05282621085643768,0.002194509059601022,0.05063170179683666,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.013470467,0.0030022096084311076,0.0522382,0.006271267181018461,0.05282621
1577,1A-ib,0,Train,0.019029893853913193,0.018735507334673187,0.052696581929922104,0.002194509059601022,0.05050207287032108,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.013151834,0.0030022096084311076,0.05172805,0.006259935697537129,0.052696582
4587,2nty-kAw.f,0,Train,0.01901160826389602,0.01871630284066545,0.05266705900430679,0.002194509059601022,0.05047254994470577,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.013080211,0.0030022096084311076,0.05161235,0.006257354040314182,0.05266706
765,KAkAi-HA-iSt.f,0,Train,0.01902514548588537,0.018033056823446275,0.05112413689494133,0.002194509059601022,0.04892962783534031,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.017569374,0.0030022096084311076,0.051124137,0.006174942960803974,0.048910968
